Area,Age-Group,Mobility-Years,Total-in-migrants,Intraprovincial-in-migrants,Interprovincial-in-migrants,External-in-migrants,Total-out-migrants,Intraprovincial-out-migrants,Interprovincial-out-migrants
Vernon,20 to 24,5,685,415,215,55,960,585,370
Salmon Arm,20 to 24,5,175,115,45,0,380,325,50
Kamloops,20 to 24,5,2100,1300,350,450,1480,1030,450
Chilliwack,20 to 24,5,980,750,180,50,1105,790,320
Abbotsford - Mission,20 to 24,5,2875,1640,305,925,2105,1660,445
Vancouver,20 to 24,5,34360,7085,7660,19615,9605,4265,5340
Squamish,20 to 24,5,370,245,105,20,310,285,30
Victoria,20 to 24,5,7595,4390,2225,980,2790,1590,1200
Duncan,20 to 24,5,450,380,30,35,655,550,110
Nanaimo,20 to 24,5,1975,1140,445,385,1170,890,280
Parksville,20 to 24,5,155,105,30,0,630,545,85
Port Alberni,20 to 24,5,255,120,125,0,465,405,65
Courtenay,20 to 24,5,560,330,190,40,995,555,440
Campbell River,20 to 24,5,400,270,110,0,930,705,220
Powell River,20 to 24,5,160,70,80,15,455,410,45
Williams Lake,20 to 24,5,200,155,40,0,400,315,80
Quesnel,20 to 24,5,240,145,85,0,550,400,145
Prince Rupert,20 to 24,5,175,125,40,0,345,230,110
Terrace,20 to 24,5,180,145,35,0,330,235,90
Prince George,20 to 24,5,1520,995,310,215,1535,920,615
Dawson Creek,20 to 24,5,280,210,60,0,280,120,160
Fort St. John,20 to 24,5,700,500,150,45,480,230,255
Yukon,20 to 24,5,700,140,465,85,455,145,315
Whitehorse,20 to 24,5,535,75,395,65,265,35,230
Northwest Territories,20 to 24,5,830,250,535,45,665,250,415
Yellowknife,20 to 24,5,485,100,355,30,320,35,285
Nunavut,20 to 24,5,395,180,210,10,260,175,80
Canada,25 to 29,5,760715,463395,139900,157425,603290,463390,139900
Newfoundland and Labrador,25 to 29,5,9835,5640,3500,690,10130,5640,4490
St. Johns,25 to 29,5,3425,1250,1660,520,3375,1085,2290
Bay Roberts,25 to 29,5,165,140,25,0,230,110,125
Grand Falls-Windsor,25 to 29,5,310,180,120,0,200,85,115
Corner Brook,25 to 29,5,505,255,250,0,675,430,245
Prince Edward Island,25 to 29,5,2630,1365,980,285,3190,1365,1825
Charlottetown,25 to 29,5,1050,300,555,195,1625,360,1270
Summerside,25 to 29,5,245,120,105,0,230,95,145
Nova Scotia,25 to 29,5,16765,6885,7705,2175,17960,6885,11080
Halifax,25 to 29,5,9180,2405,5180,1600,8585,1645,6940
Kentville,25 to 29,5,595,410,155,30,405,285,115
Truro,25 to 29,5,670,315,325,25,840,520,325
New Glasgow,25 to 29,5,390,215,110,65,510,295,215
Cape Breton,25 to 29,5,895,265,380,245,1375,515,855
New Brunswick,25 to 29,5,14895,8845,5065,995,15890,8840,7050
Moncton,25 to 29,5,2800,1320,1210,265,2810,1365,1445
Saint John,25 to 29,5,1770,785,765,225,1270,295,980
Fredericton,25 to 29,5,2165,845,1005,320,3405,1170,2235
Bathurst,25 to 29,5,385,275,90,20,470,335,135
Miramichi,25 to 29,5,335,190,135,0,445,205,240
Campbellton,25 to 29,5,225,160,40,20,270,180,90
Campbellton (New Brunswick part),25 to 29,5,180,150,25,0,255,170,85
Campbellton (Quebec part),25 to 29,5,50,10,20,0,20,0,0
Edmundston,25 to 29,5,200,80,100,15,385,230,160
Quebec,25 to 29,5,177110,133070,9890,34150,147050,133070,13980
Matane,25 to 29,5,315,280,0,20,340,340,0
Rimouski,25 to 29,5,805,735,0,60,1155,1135,20
Riviere-du-Loup,25 to 29,5,555,530,0,25,650,640,0
Baie-Comeau,25 to 29,5,380,375,0,0,290,280,0
Saguenay,25 to 29,5,1825,1630,95,100,2200,2095,110
Alma,25 to 29,5,565,540,0,20,605,580,0
Dolbeau-Mistassini,25 to 29,5,220,210,0,0,265,265,0
Sept-Iles,25 to 29,5,540,455,0,70,285,275,15
Quebec,25 to 29,5,10965,8395,695,1880,11195,9850,1345
Saint-Georges,25 to 29,5,670,635,35,0,460,425,40
Thetford Mines,25 to 29,5,305,295,0,0,590,555,35
Sherbrooke,25 to 29,5,3460,2565,230,665,5905,5380,530
Cowansville,25 to 29,5,230,225,0,0,240,210,35
Victoriaville,25 to 29,5,745,670,15,60,825,820,0
Trois-Rivieres,25 to 29,5,2530,2205,60,265,3265,3155,115
Shawinigan,25 to 29,5,575,555,0,0,885,860,0
Drummondville,25 to 29,5,1380,1320,15,45,1090,1025,70
Granby,25 to 29,5,1290,1225,0,55,1155,1100,60
Saint-Hyacinthe,25 to 29,5,1080,930,0,145,1350,1315,35
Sorel-Tracy,25 to 29,5,645,620,0,20,545,540,0
Joliette,25 to 29,5,955,875,0,70,810,810,0
Saint-Jean-sur-Richelieu,25 to 29,5,1675,1495,85,90,1510,1430,75
Montreal,25 to 29,5,50710,16055,5855,28800,25115,15960,9150
Salaberry-de-Valleyfield,25 to 29,5,575,530,30,0,510,505,0
Lachute,25 to 29,5,240,230,0,0,250,245,0
Val-dOr,25 to 29,5,580,545,0,20,305,280,25
Amos,25 to 29,5,400,385,0,0,335,330,0
Rouyn-Noranda,25 to 29,5,730,645,45,45,955,925,25
Ontario,25 to 29,5,267385,179295,28875,59220,216940,179295,37645
Cornwall,25 to 29,5,575,490,50,35,570,450,120
Hawkesbury,25 to 29,5,135,90,45,0,240,135,105
Hawkesbury (Ontario part),25 to 29,5,70,35,40,0,205,125,80
Ottawa - Gatineau,25 to 29,5,22370,10905,5990,5480,14680,9745,4940
Ottawa - Gatineau (Quebec part),25 to 29,5,5720,2910,1780,1030,2815,1625,1195
Ottawa - Gatineau (Ontario part),25 to 29,5,18355,7995,5910,4445,13565,8125,5445
Brockville,25 to 29,5,605,385,160,65,500,390,105
Pembroke,25 to 29,5,660,490,135,35,390,315,70
Petawawa,25 to 29,5,1185,805,370,0,705,370,335
Kingston,25 to 29,5,3900,2340,1035,525,6020,4150,1870
Belleville,25 to 29,5,1970,1470,390,115,1885,1270,620
Cobourg,25 to 29,5,335,310,0,0,380,360,0
Port Hope,25 to 29,5,260,210,40,0,265,245,15
Peterborough,25 to 29,5,2000,1675,210,115,3050,2555,495
Kawartha Lakes,25 to 29,5,1155,1065,75,10,1055,900,155
Centre Wellington,25 to 29,5,440,425,15,0,420,365,55
Oshawa,25 to 29,5,6010,5045,415,545,4325,3700,630
Ingersoll,25 to 29,5,245,240,0,0,255,250,0
Toronto,25 to 29,5,86355,31260,11810,43290,31030,20065,10965
Hamilton,25 to 29,5,10620,7415,1040,2160,10165,8460,1705
St. Catharines - Niagara,25 to 29,5,3600,2475,385,735,6055,4690,1370
Kitchener - Cambridge - Waterloo,25 to 29,5,9435,6280,1015,2140,10525,8740,1780
Brantford,25 to 29,5,2060,1660,160,235,1420,1160,260
Woodstock,25 to 29,5,740,715,0,25,790,715,75
Tillsonburg,25 to 29,5,305,295,0,0,480,460,0
Norfolk,25 to 29,5,880,775,75,35,1025,890,140
Guelph,25 to 29,5,3220,2575,245,400,5265,4520,745
Stratford,25 to 29,5,510,480,15,0,670,575,95
London,25 to 29,5,8365,5915,1000,1450,10870,8805,2065
Chatham-Kent,25 to 29,5,860,710,80,70,1530,1275,255
Leamington,25 to 29,5,695,550,30,120,705,590,110
Windsor,25 to 29,5,2805,1635,280,885,5075,3750,1330
Sarnia,25 to 29,5,1290,965,220,100,975,790,190
Owen Sound,25 to 29,5,560,525,30,0,615,535,80
Collingwood,25 to 29,5,345,320,0,0,265,215,50
Barrie,25 to 29,5,3710,3090,345,270,3245,2610,640
Orillia,25 to 29,5,875,770,75,0,710,535,170
Midland,25 to 29,5,500,450,35,20,440,390,55
North Bay,25 to 29,5,1240,1095,115,35,1885,1595,285
Greater Sudbury,25 to 29,5,2080,1570,285,225,3180,2620,560
Elliot Lake,25 to 29,5,105,95,0,0,80,65,20
Temiskaming Shores,25 to 29,5,180,150,25,0,280,225,55
Timmins,25 to 29,5,750,575,105,70,430,365,60
Sault Ste. Marie,25 to 29,5,1010,780,65,170,855,625,225
Thunder Bay,25 to 29,5,1680,1000,540,140,1705,970,730
Kenora,25 to 29,5,215,125,90,0,170,80,85
